Beijing_S,Beijing_E,Beijing_I,Beijing_R,Beijing_D,Beijing_H,Wuhan_S,Wuhan_E,Wuhan_I,Wuhan_R,Wuhan_D,Wuhan_H
21724614.73188718,54.02897001802272,41.769387625144994,17.29013943508081,0.0,40.54709787722453,10701060.916176647,4943.417665700382,3314.66860091582,1223.1771724736425,1.0,4377.358202572464
21724608.345363256,56.95209843490936,44.13647375263406,18.38644882156756,0.0,44.01049339120034,10700400.854097934,5286.593996610926,3544.55517284007,1310.176348350698,1.0,4694.24395037377
21724601.606162176,60.04052397764318,46.628811662030664,19.544886452870294,0.0,47.66126893189967,10699695.031109478,5653.532754518338,3790.4064592230216,1403.2092925197287,1.0,5033.1281809257525
21724594.494914442,63.30302016878056,49.25370987459631,20.76873977733304,0.0,51.510020468928076,10698940.28112364,6045.87679455082,4053.326671187606,1502.6950263576032,1.0,5395.53412672821
21724586.991178494,66.74887021242549,52.01884749217965,22.061488068004856,0.0,55.56790637718325,10698133.220021002,6465.381692411481,4334.496349163679,1609.0815531604276,1.0,5783.090331507109
21724579.073381968,70.38789300087396,54.932297142585824,23.426812149164427,0.0,59.84668010874899,10697270.230774622,6913.923394405406,4635.177585172032,1722.8478615374272,1.0,6197.53787589246
21724570.718759827,74.23047071699843,58.00254898979789,24.86860472508532,0.0,64.35872453188193,10696347.451857101,7393.502094335561,4956.7195984268965,1844.5060658726513,1.0,6640.73809348255
21724561.903288938,78.28757810738172,61.23853588339233,26.390981338990773,0.0,69.11708803938181,10695360.74816728,7906.26334221264,5300.564413116184,1974.60369312795,1.0,7114.6805354271355
21724552.601619035,82.57081350635133,64.64965972434786,27.998291992098178,0.0,74.13552253344473,10694305.704531698,8454.495225090854,5668.253740281017,2113.7261186690575,1.0,7621.492288133075
21724542.78699998,87.09243169640682,68.24581912755829,29.695133454679493,0.0,79.4285233992365,10693177.602781292,9040.642153371216,6061.435498352855,2262.4991827184276,1.0,8163.447110254285
21724532.431204796,91.86537869609694,72.03743846473303,31.48636230317183,0.0,85.01137158490361,10691971.40123341,9667.315358091406,6481.871046285318,2421.5919779507867,1.0,8742.975453419107
21724521.5044486,96.90332857220378,76.03549837500873,33.37710871956903,0.0,90.90017791157646,10690681.712824361,10337.304064699852,6931.442899743209,2591.719826934653,1.0,9362.675155860861
21724509.975302957,102.22072237914946,80.25156783451278,35.3727910916165,0.0,97.11192974312802,10689302.781809684,11053.587382919884,7412.162961034463,2773.647462098517,1.0,10025.322852315981
21724497.810605593,107.83280933487221,84.69783788032206,37.47913145472707,0.0,103.66454015204783,10687828.458944812,11819.346954015708,7926.1812952041755,2968.1924217057203,1.0,10733.886146092895
21724484.975365,113.7556903490476,89.38715708875736,39.70217181903999,0.0,110.57689972479608,10686252.175054606,12637.980398452259,8475.795486507111,3176.228676173021,1.0,11491.536591863136
21724471.432659898,120.00636402647248,94.33306891275981,42.048291427668794,0.0,117.86893115742731,10684566.912895862,13513.115608573913,9063.460611333008,3398.690499965859,1.0,12301.663540481868
21724457.143533003,126.60277527570811,99.54985098821834,44.52422499493282,0.0,125.5616468001499,10682765.17721243,14448.625932487268,9691.799865572646,3636.57660525019,1.0,13167.888900005839
21724442.0668791,133.5638666607153,105.0525565245739,47.1370819762509,0.0,133.67720931782353,10680838.962878095,15448.646296790643,10363.615886376252,3890.954554477819,1.0,14094.08287003707
21724426.15932679,140.90963264123357,110.85705790082719,49.89436692440244,0.0,142.2389956422283,10678779.721018232,16517.59031711208,11081.902810261196,4162.965470130738,1.0,15084.380709574934
21724409.375113823,148.66117685607702,116.98009259424211,52.80400099004094,0.0,151.27166440128178,10676578.322996669,17660.168446557043,11849.859111563257,4453.829060951242,1.0,16143.200601697505
21724391.665955447,156.8407726123719,123.43931157557722,55.874344627685105,0.0,160.80122702026108,10674225.022150235,18881.40721307843,12670.90126728275,4764.848985139255,1.0,17275.262681605007
21724372.980905626,165.4719267530696,130.25333031161662,59.11422157192597,0.0,170.8551227005413,10671709.413149685,20186.669597408505,13548.678296437938,5097.418572207043,1.0,18485.60929782798
21724353.2662105,174.57944708485655,137.44178252312267,62.53294415228335,0.0,181.46229749240473,10669020.388861738,21581.67660347017,14487.087224085884,5453.0269264442595,1.0,19779.626579713142
21724332.465153832,184.1895135588862,145.02537685412125,66.140340019032,0.0,192.65328769015196,10666146.094584256,23072.530073037895,15490.289522182107,5833.265436262785,1.0,21163.067387627892
21724313.2140556,191.6335916849465,153.02595661667135,69.94678035641049,0.0,204.46030779008055,10663376.51913338,24363.097185895993,16562.72858139993,6239.834715060216,1.0,22642.07572564315
21724295.53572824,197.02771445368396,161.29373190433606,73.96320966393466,0.0,216.74451238526945,10660727.466680449,25450.412639732454,17689.74829489478,6674.552000661265,1.0,24203.812724739044
21724279.414485816,200.51897518160467,169.69028231650663,78.19664094751306,0.0,229.37449408101844,10658210.784119112,26335.658493393734,18856.887147060886,7138.849856170315,1.0,25835.249432414203
21724264.804565042,202.27511549802668,178.09024959270565,82.65045413167334,0.0,242.2282745413776,10655834.641909618,27023.61746613044,20050.13896263419,7633.781277353014,1.0,27523.432669170204
21724251.637879573,202.47544741346255,186.38231838405866,87.32473889788606,0.0,255.1946280989435,10653603.900986494,27522.07521834886,21256.17176706665,8160.0316438263535,1.0,29255.715840076
21724239.830834735,201.30329690241842,194.46958936403988,92.21666326492175,0.0,268.17382344596035,10651520.52797508,27841.212638845787,22462.502587197294,8717.936414615504,1.0,31019.951430995803
21724229.290086497,198.9399876419771,202.2694581605657,97.32085196214062,0.0,281.07788093970504,10649584.028115653,27993.01938039573,23657.628708032727,9307.503411654803,1.0,32804.644548870536
21724219.917239167,195.56027166128655,209.71311180794189,102.62976162514761,0.0,293.8304442500882,10647791.872465886,27990.75071090955,24831.1178905951,9928.438548348577,1.0,34599.06886812666
21724211.61254792,191.32904806192383,216.7447455082096,108.13404277496238,0.0,306.36635910017077,10646139.902556352,27848.4417287176,25973.66140461416,10580.173926054484,1.0,36393.34775985165
21724204.277733155,186.3991802589253,223.32058961149926,113.82288123974475,0.0,318.6310416682428,10644622.701383354,27580.48638064387,27077.094529239235,11261.897322501049,1.0,38178.504280923284
21724197.818032086,180.91021592880338,229.4078222145104,119.68431403794685,0.0,330.5797070694559,10643233.924305735,27201.28356206484,28134.38952965379,11972.582218281608,1.0,39946.48417711841
