Beijing_S,Beijing_E,Beijing_I,Beijing_R,Beijing_D,Beijing_H,Wuhan_S,Wuhan_E,Wuhan_I,Wuhan_R,Wuhan_D,Wuhan_H
21546284.540666662,0.05899999999999998,0.0865333333333333,0.0,0.0,0.0,10888585.860338725,169.92460999321318,223.7545730668282,5.774278215223097,1.0,50.61538461538461
21550567.374736175,0.13175718413863494,0.17605430059034918,0.004542432195975501,0.0,0.0037820512820512806,10884271.523387691,190.45834907632243,228.68634269937414,11.644830439199339,1.0,61.507987820077766
21554848.50101461,0.21874559345093916,0.2698293876097996,0.01374357995325084,0.0,0.012228024624271468,10879956.846340246,211.70481517395135,234.8029950558639,17.642516351808588,1.0,73.71685635061125
21559127.91813584,0.320565665304677,0.3691252496003774,0.02776510587603307,0.0,0.02625017805061372,10875641.677546347,233.7698241320232,242.1186524274688,23.798385231226316,1.0,87.28767783612093
21563405.62454961,0.43794544115087586,0.475219340569958,0.04681413082814685,0.0,0.04679925915988789,10871325.855824169,256.7619585413649,250.6538439538287,30.143844806722225,1.0,102.27292297278908
21567681.61850859,0.5717427018668632,0.5894103296685403,0.07114365835684756,0.0,0.07487268487468762,10867009.20973048,280.7931226621612,260.4355122997143,36.710829276421826,1.0,118.73202287928686
21571955.89805422,0.7229480212634835,0.7130283836434799,0.10105333859844856,0.0,0.1115228580712814,10862691.556786465,305.9791064113826,271.49705572590483,43.53196743422175,1.0,136.73158202429715
21576228.461001467,0.8926887347488823,0.847445391699526,0.1368905681945831,0.0,0.15786567994714573,10858372.70265543,332.44016137454264,283.8784051923336,50.6407518347975,1.0,156.34562730707813
21580499.304922253,1.0822338263843514,0.9940852067185919,0.1790519251157327,0.0,0.21508931679002277,10854052.440268725,360.30159181855504,297.62613633103473,58.07170991577749,1.0,177.65589406185651
21584768.4271275,1.2929997436770535,1.1544339749966073,0.22798493959122978,0.0,0.284463280019789,10849730.548895814,389.694363713864,312.79361632156156,65.86057799153171,1.0,200.75214994766128
21589035.82464783,1.5265571554719037,1.3300506253727924,0.2841902045985184,0.0,0.36734787897344623,10845406.793154426,420.7557348212599,329.4411858935185,74.0444790335207,1.0,225.7325578780372
21593301.494212653,1.7846386742708762,1.5225775878395602,0.34822383158458503,0.0,0.4652041068883118,10841080.921956262,453.62990896184533,347.63637687071594,82.66210515768665,1.0,252.7040793409385
21597565.432227574,2.069147570261549,1.7337518114119108,0.42070025929410343,0.0,0.5796040219056758,10836752.667383503,488.46871766749763,367.45416586031837,91.75390574988674,1.0,281.7829196590055
21601827.634750172,2.3821675103158864,1.9654161511898736,0.5022954257765105,0.0,0.7122416866660312,10832421.74349118,525.4323325040205,388.9772648792449,101.36228217583822,1.0,313.0950169453836
21606088.097463768,2.725973361262356,2.2195311951557644,0.5937503158520221,0.0,0.864944732199101,10828087.845029946,564.6900114701658,412.2964499000067,111.53179004246698,1.0,346.7765767212823
21610346.815649256,3.103043102876156,2.4981876023022904,0.6958748985484043,0.0,1.039686614331303,10823750.646083638,606.4208830031369,437.5109284901561,122.30935000295072,1.0,382.9746543796262
21614603.78415478,3.516070902310188,2.8036190251833393,0.8095524712897827,0.0,1.2385996337464416,10819409.798615512,650.8147712653622,464.7287479145676,133.74446812817416,1.0,421.84778790546835
21618858.997363046,3.9679814081395532,3.1382156919149864,0.9357444299394455,0.0,1.4639887941509402,10815064.930916704,698.0730665487324,494.06724526884716,145.88946690285124,1.0,463.56668349940185
21623112.449156243,4.461945328851691,3.504538725030921,1.0754954861840944,0.0,1.718346576723989,10810715.645950045,748.4096448115739,525.6535414163101,158.7997279453143,1.0,508.31495699611537
21627364.13287827,5.001396367519216,3.9053352774179224,1.2299393562108498,0.0,2.004368713188841,10806361.519581862,802.0518405609893,559.6250807111289,172.53394759605763,1.0,556.2899342276266
